Example sentence,Word/Collocation,Notes
ты можешь делать то же самое,,
увидим,will see,will see
физическое насилие,,
говорить НА местном языке (предлог на). Увидел В телеграме ( предлог В),,
много скутеров,,
опыт вождения,,
"даже если у тебя есть опыт, условия вождения другие.",,
животные,,animals
песок на дороге/ нет песка на дороге,,sand on the road
когда ты едешь на скутере,,
"ограбления, я был ограблен/ меня ограбили",,
мошенничество,,
вызвать такси по телефону,,
машина сломалась,,
он меня отвлек,,
Купюра ( деньга),,
подозреваемый в преступлении,,
"подозревать, заподозрить что что-то не так",,
